Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-10 00,21,707793161712771072,707806893062881281
2016-03-10 01,14,707809381438586880,707817879173988356
2016-03-10 02,2,707825238902439936,707825860183724032
2016-03-10 03,8,707844795520057344,707851611922563073
2016-03-10 04,4,707854365130932224,707866415869468672
2016-03-10 05,4,707871484543311872,707872780000370688
2016-03-10 06,11,707883799787470849,707896002980814849
2016-03-10 07,20,707899718676959233,707913625030270976
2016-03-10 08,29,707914241089490945,707928741213655040
2016-03-10 09,29,707929045317582848,707943779064520708
2016-03-10 10,34,707944124989743104,707959148953010177
2016-03-10 11,16,707959323494899712,707974081388347394
2016-03-10 12,82,707974403515146240,707989293461929984
2016-03-10 13,90,707989409631580160,708004410157178880
2016-03-10 14,40,708004558333722626,708019589393858560
2016-03-10 15,68,708019720570707968,708034465264603137
2016-03-10 16,95,708035459344146432,708049776936402944
2016-03-10 17,102,708049829608329216,708064380844437505
2016-03-10 18,132,708064967271047168,708079954446172161
2016-03-10 19,193,708080013732659201,708095064619114496
2016-03-10 20,1709,708095091748036608,708110188050583554
2016-03-10 21,18740,708110191464681472,708125289000407040
2016-03-10 22,29057,708125289814093825,708140387517526016
2016-03-10 23,8351,708140389153304576,708155487162773504
2016-03-11 00,2395,708155492313346048,708170581414268928
2016-03-11 01,1061,708170589517656064,708185611501371397
2016-03-11 02,542,708185687485321218,708200781132865537
2016-03-11 03,266,708200827723366400,708215877565489152
2016-03-11 04,199,708215895324229632,708230529901064192
2016-03-11 05,212,708231194224144385,708246007528562688
2016-03-11 06,461,708246116190560257,708261175235059712
2016-03-11 07,744,708261201738735617,708276279024300033
2016-03-11 08,684,708276306505539584,708291370750976001
2016-03-11 09,597,708291405223956481,708306417749516289
2016-03-11 10,830,708306497101385728,708321558897565696
2016-03-11 11,476,708321608545411072,708336667413733376
2016-03-11 12,370,708336742529499136,708351740999897088
2016-03-11 13,280,708351781953142784,708366625699995652
2016-03-11 14,254,708367308989681664,708381934938796032
2016-03-11 15,197,708382027247067137,708396868590383104
2016-03-11 16,222,708397110333476865,708412051161534474
2016-03-11 17,176,708412184666177536,708427265592434689
2016-03-11 18,187,708427389127102464,708442005395935232
