Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-03 22,30858,705594093896740864,705603673401925632
2016-03-03 23,14170,705603673993433088,705618766902616065
2016-03-04 00,4318,705618775052189701,705633868708089856
2016-03-04 01,2275,705633873900675074,705648971876728833
2016-03-04 02,957,705648983121629184,705664061803900928
2016-03-04 03,482,705664122608885760,705679130189283328
2016-03-04 04,368,705679178302136320,705694266081718272
2016-03-04 05,363,705694281072246784,705709359699918848
2016-03-04 06,897,705709380302446592,705724468723732481
2016-03-04 07,1339,705724479964577792,705739561947758592
2016-03-04 08,1233,705739573184180224,705754658208231424
2016-03-04 09,1929,705754670950645760,705769755886620674
2016-03-04 10,1014,705769768675090433,705784860334432256
2016-03-04 11,900,705784879716261888,705799962391506944
2016-03-04 12,891,705799971409362944,705815051857432576
2016-03-04 13,796,705815072120008704,705830151146180608
2016-03-04 14,480,705830213255434240,705845165781618688
2016-03-04 15,521,705845275420717057,705860352177614848
2016-03-04 16,435,705860365742047232,705875449923117056
2016-03-04 17,376,705875482189959168,705890518383853568
2016-03-04 18,346,705890574214131712,705905651701063680
