Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-10 00,5,707793161712771072,707805609215844352
2016-03-10 01,25,707808304744042497,707821617360084993
2016-03-10 02,2,707825110359658497,707825860183724032
2016-03-10 03,3,707839128201785344,707851611922563073
2016-03-10 04,3,707858526337511424,707866577560010752
2016-03-10 05,3,707871829977726976,707881717978304512
2016-03-10 06,3,707883799787470849,707897989239427073
2016-03-10 07,13,707899664293613568,707911461310480384
2016-03-10 08,16,707913905092210691,707928144305500160
2016-03-10 09,12,707930695125979136,707941639256449024
2016-03-10 10,15,707945412066418688,707958859533459456
2016-03-10 11,22,707959358718660608,707974107107753986
2016-03-10 12,11,707974403515146240,707989293461929984
2016-03-10 13,15,707989571343151105,708002564566953984
2016-03-10 14,19,708004558333722626,708019123511541760
2016-03-10 15,21,708021131798708224,708033546028363778
2016-03-10 16,20,708035792367648768,708049659873382400
2016-03-10 17,21,708051461163200512,708063751711272960
2016-03-10 18,35,708064967271047168,708079836598771712
2016-03-10 19,62,708081711721000960,708095008285401088
2016-03-10 20,933,708095091748036608,708110187568209921
2016-03-10 21,11594,708110193192624128,708125287276552193
2016-03-10 22,15476,708125291068018688,708140386284408832
2016-03-10 23,4285,708140389446844416,708155487020130305
2016-03-11 00,1381,708155492313346048,708170543971741696
2016-03-11 01,462,708170621914521602,708185471818399744
2016-03-11 02,290,708185726236499968,708200742494932996
2016-03-11 03,153,708200954256957440,708215854245220352
2016-03-11 04,120,708216098081136641,708230915860733952
2016-03-11 05,146,708231273169309696,708246075895746561
2016-03-11 06,301,708246099216039936,708261159384825856
2016-03-11 07,386,708261210152706048,708276274095980544
2016-03-11 08,322,708276337924972544,708291297661083648
2016-03-11 09,270,708291397196062720,708306306352820224
2016-03-11 10,240,708306529053761536,708321551641350145
2016-03-11 11,199,708321700719546368,708336667413733376
2016-03-11 12,150,708336776302166016,708351352112418816
2016-03-11 13,104,708351812437463041,708365891281534976
2016-03-11 14,61,708367812318855169,708381961367248896
2016-03-11 15,85,708382376322318336,708397071498260481
2016-03-11 16,77,708397146438045696,708412076264267776
2016-03-11 17,79,708412360164179968,708427265592434689
2016-03-11 18,91,708427434610270213,708442092565991426
