Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-10 00,23,707793166850633728,707806893062881281
2016-03-10 01,26,707809381438586880,707822393901891584
2016-03-10 02,38,707823451650859008,707838298652340224
2016-03-10 03,9,707838554521468928,707852685807067136
2016-03-10 04,5,707854365130932224,707866671940116480
2016-03-10 05,8,707871484543311872,707880062629056512
2016-03-10 06,12,707883799787470849,707896002980814849
2016-03-10 07,21,707899386454523904,707913368812650496
2016-03-10 08,23,707913905092210691,707928249062412288
2016-03-10 09,25,707929029538545664,707943172467347456
2016-03-10 10,44,707944392863121408,707958973740101632
2016-03-10 11,33,707959617087782912,707973391739793408
2016-03-10 12,77,707974403515146240,707989203783696385
2016-03-10 13,55,707990096994111488,708004296059523072
2016-03-10 14,108,708004558333722626,708019589393858560
2016-03-10 15,204,708019662626414595,708034650288082944
2016-03-10 16,113,708034801303994368,708049781679984641
2016-03-10 17,110,708050086446497792,708064481151045632
2016-03-10 18,134,708064967271047168,708079982757744640
2016-03-10 19,329,708080222596255744,708095028514521088
2016-03-10 20,1881,708095091748036608,708110189451419648
2016-03-10 21,27944,708110193192624128,708125289252048896
2016-03-10 22,27940,708125290489204736,708140387681116160
2016-03-10 23,10462,708140389253783556,708155487674433536
2016-03-11 00,3503,708155489985699841,708170580730585090
2016-03-11 01,1665,708170597423927296,708185679746826240
2016-03-11 02,769,708185689003700225,708200742494932996
2016-03-11 03,398,708200815136116736,708215878664523776
2016-03-11 04,322,708215916534702080,708230983414231040
2016-03-11 05,308,708231056189558785,708245980622295040
2016-03-11 06,594,708246095898345472,708261183782916096
2016-03-11 07,895,708261185666293760,708276277594202112
2016-03-11 08,902,708276286414725120,708291361401864192
2016-03-11 09,772,708291405223956481,708306434715308032
2016-03-11 10,621,708306485789519872,708321569886445568
2016-03-11 11,446,708321585120194560,708336667413733376
2016-03-11 12,332,708336730366218240,708351768963489792
2016-03-11 13,287,708351812437463041,708366826569342976
2016-03-11 14,212,708366937689079808,708381955973230592
2016-03-11 15,238,708382107647672320,708397024484298752
2016-03-11 16,227,708397189886640128,708412142064680962
2016-03-11 17,218,708412208326316032,708427230095888384
2016-03-11 18,265,708427337776365568,708442360313618432
