Date and hour EST (UTC = + 5), count, minid, maxid
2016-02-24 23,17,702712250260459521,702719072971182080
2016-02-25 00,5,702719785344307200,702733693924855810
2016-02-25 01,3,702736138839044096,702747439841673216
2016-02-25 02,1,702761873221922816,702761873221922816
2016-02-25 03,2,702768939647029248,702772556961619968
2016-02-25 06,6,702810414699126784,702825060860493824
2016-02-25 07,5,702826172409839616,702839325654798336
2016-02-25 08,9,702842243552382977,702852849861058560
2016-02-25 09,10,702856699108061184,702870432530231297
2016-02-25 10,5,702871145679364096,702884094242381824
2016-02-25 11,65,702889759102922752,702900655447355392
2016-02-25 12,70,702900990022914048,702915953710014464
2016-02-25 13,222,702916113621917697,702930959927128064
2016-02-25 14,155,702931106304303104,702946083219963905
2016-02-25 15,104,702946296815034368,702961214926798848
2016-02-25 16,105,702961320996401152,702976352048259072
2016-02-25 17,70,702976405018189825,702989571987021824
2016-02-25 18,63,702991629171425280,703006443985829889
2016-02-25 19,88,703006597107220480,703021648526479360
2016-02-25 20,4236,703021781779660800,703036758175256576
2016-02-25 21,23128,703036760520069120,703051858722426880
2016-02-25 22,35602,703051860945575936,703066958019719168
2016-02-25 23,4786,703066959441580033,703082057841381376
2016-02-26 00,1734,703082062274813952,703097142571720705
2016-02-26 01,759,703097162494660608,703112250278608896
2016-02-26 02,487,703112275469561856,703127273205944320
2016-02-26 03,329,703127386766741504,703142442770411520
2016-02-26 04,158,703142505118695426,703157468013006849
2016-02-26 05,172,703157692181794816,703172623916609536
2016-02-26 06,313,703172673627561988,703187711327272960
2016-02-26 07,391,703187787688890368,703202829670875136
2016-02-26 08,412,703202862247972865,703217926510354433
2016-02-26 09,433,703218017572769792,703233052470747136
2016-02-26 10,388,703233055025135616,703248083660898305
2016-02-26 11,390,703248160374718464,703263098707161088
2016-02-26 12,255,703263306803515392,703278319257554944
2016-02-26 13,311,703278382608424960,703293424036761600
2016-02-26 14,241,703293480546635776,703308518628192256
2016-02-26 15,145,703308667865567232,703323046812123137
2016-02-26 16,248,703323744316497924,703338731252686848
2016-02-26 17,129,703338819869868038,703353394271014916
2016-02-26 18,106,703353887336620037,703368925178822656
2016-02-26 19,82,703369058301964288,703383581972783104
2016-02-26 20,150,703384075411787781,703399073634754560
2016-02-26 21,148,703399193788837889,703414198550851585
2016-02-26 22,67,703414280520114176,703429065479475201
2016-02-26 23,58,703429353900785664,703444367667761152
2016-02-27 00,9,703444457794965504,703445748994744320
