Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-10 00,68,707793198601605121,707807987574906880
2016-03-10 01,44,707808215673790465,707822577469759488
2016-03-10 02,57,707823314459357184,707838298652340224
2016-03-10 03,33,707838748940247040,707852435394580480
2016-03-10 04,28,707853626283175936,707868498475651072
2016-03-10 05,20,707869250288033792,707881202192089093
2016-03-10 06,50,707883799787470849,707898795506343936
2016-03-10 07,73,707898931368357888,707913865217105920
2016-03-10 08,72,707913905092210691,707928993786257408
2016-03-10 09,110,707929029538545664,707943957058211841
2016-03-10 10,147,707944329243967490,707959081693278212
2016-03-10 11,224,707959229563318272,707974272321396736
2016-03-10 12,389,707974319159316480,707989370754584577
2016-03-10 13,288,707989409631580160,708004475768741888
2016-03-10 14,272,708004534547648512,708019589393858560
2016-03-10 15,365,708019652840951808,708034680587685888
2016-03-10 16,341,708034748212334592,708049784351760384
2016-03-10 17,461,708049792321118208,708064887671496704
2016-03-10 18,667,708064967271047168,708079985454616577
2016-03-10 19,2281,708079994312855552,708095078242328576
2016-03-10 20,6103,708095094985863168,708110189451419648
2016-03-10 21,67706,708110190781005824,708125289465810945
2016-03-10 22,71067,708125289788928006,708140388293459969
2016-03-10 23,26381,708140389690155012,708155487775100929
2016-03-11 00,7960,708155489637498880,708170586187386881
2016-03-11 01,3584,708170591249956864,708185674248114177
2016-03-11 02,2125,708185688143835136,708200784362479617
2016-03-11 03,1374,708200788871385088,708215878664523776
2016-03-11 04,853,708215889682804736,708230977236107264
2016-03-11 05,1000,708231001198215168,708246070153744384
2016-03-11 06,1644,708246108531773440,708261183782916096
2016-03-11 07,2169,708261185666293760,708276277594202112
2016-03-11 08,2183,708276289287823360,708291379848470528
2016-03-11 09,2205,708291401042235393,708306478113955841
2016-03-11 10,1874,708306485789519872,708321575892811776
2016-03-11 11,1386,708321597996670980,708336675227828224
2016-03-11 12,1081,708336688012075010,708351779910643712
2016-03-11 13,888,708351794309533696,708366868294270976
2016-03-11 14,759,708366902544850944,708381973383946245
2016-03-11 15,682,708382055084625920,708397071838089216
2016-03-11 16,671,708397117732212737,708412156513951744
2016-03-11 17,647,708412195487535104,708427271971971073
2016-03-11 18,999,708427282679869441,708442321466032130
