Date and hour EST (UTC = + 5), count, minid, maxid
2016-02-24 23,14,702712915564998657,702719236129460224
2016-02-25 00,32,702719785344307200,702733578065416193
2016-02-25 01,15,702735514818973697,702749747044601856
2016-02-25 02,18,702750734526197760,702764962649808896
2016-02-25 03,49,702765321371979776,702779801527042048
2016-02-25 04,32,702780136874078209,702794995535839232
2016-02-25 05,31,702796474212597760,702809726434803712
2016-02-25 06,41,702810414699126784,702825060860493824
2016-02-25 07,129,702826182853697536,702840304961875968
2016-02-25 08,154,702840472054558721,702855468687998976
2016-02-25 09,161,702855775039975425,702870477350555648
2016-02-25 10,167,702870674151501824,702885647057424384
2016-02-25 11,302,702885825810296832,702900863388557314
2016-02-25 12,253,702900919231455233,702915958973861888
2016-02-25 13,370,702915968687804416,702931002625269760
2016-02-25 14,403,702931106304303104,702946161158557696
2016-02-25 15,290,702946238639935488,702961214926798848
2016-02-25 16,323,702961262573985792,702976353386291202
2016-02-25 17,363,702976365746782208,702991459579006976
2016-02-25 18,594,702991513828126720,703006504085880832
2016-02-25 19,1209,703006575993032704,703021659809193984
2016-02-25 20,23797,703021666465665024,703036759832031233
2016-02-25 21,121377,703036759987216385,703051859255123969
2016-02-25 22,97014,703051859456454656,703066958825033728
2016-02-25 23,36008,703066959441580033,703082057942110208
2016-02-26 00,12615,703082058395033600,703097157159514112
2016-02-26 01,6213,703097158732353536,703112256603578372
2016-02-26 02,3301,703112259476664325,703127353321345024
2016-02-26 03,1933,703127358492905472,703142454401208320
2016-02-26 04,1499,703142456590663680,703157554327605252
2016-02-26 05,1341,703157571780157440,703172650915360768
2016-02-26 06,2499,703172661090725888,703187750212788225
2016-02-26 07,3629,703187759826149377,703202853066838016
2016-02-26 08,3745,703202862247972865,703217951663480832
2016-02-26 09,3504,703217971624284160,703233052948836354
2016-02-26 10,3339,703233055121604611,703248140627943425
2016-02-26 11,2917,703248160374718464,703263246942232577
2016-02-26 12,2733,703263264277340160,703278349943218176
2016-02-26 13,1736,703278361922117632,703293438142251008
2016-02-26 14,1240,703293453032169474,703308544490078208
2016-02-26 15,1277,703308552186806276,703323632668418052
2016-02-26 16,1803,703323678113665025,703338741990035456
2016-02-26 17,1224,703338753130176512,703353837420056576
2016-02-26 18,892,703353858798567424,703368939171028992
2016-02-26 19,810,703368967595945984,703384039512649728
2016-02-26 20,1003,703384069002887168,703399126038396928
2016-02-26 21,918,703399191465177092,703414246575484928
2016-02-26 22,791,703414284932538370,703429311487868928
2016-02-26 23,614,703429349077336064,703444430204735493
2016-02-27 00,51,703444609775570944,703445844817743872
