Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-03 00,10,705256438587891712,705265256654884864
2016-03-03 01,6,705273289783058432,705286273087438848
2016-03-03 05,3,705332027827077120,705341182818304000
2016-03-03 06,1,705352671843246080,705352671843246080
2016-03-03 07,18,705362788831645696,705376736679059456
2016-03-03 08,9,705377552014163968,705391494635585537
2016-03-03 09,12,705393115541086208,705406589604372480
2016-03-03 10,10,705408312913862656,705422321041936384
2016-03-03 11,19,705422828267372544,705436272290975744
2016-03-03 12,14,705437598295179265,705451949336821760
2016-03-03 13,17,705453055689433088,705463805724139520
2016-03-03 14,8,705468709821935621,705482021733163008
2016-03-03 15,11,705488456269430784,705496921037787140
2016-03-03 16,19,705505142108495872,705512721618333696
2016-03-03 17,47,705513383286673408,705527562164944896
2016-03-03 18,87,705528495292612608,705543149951840257
2016-03-03 19,84,705543288648916994,705557916783403008
2016-03-03 20,307,705558731090751489,705573471057797120
2016-03-03 21,18874,705573489185595392,705588572506693632
2016-03-03 22,25046,705588574473687040,705603673821470720
2016-03-03 23,7607,705603674115055616,705618771839315968
2016-03-04 00,1999,705618809294557184,705633865063215106
2016-03-04 01,688,705633873900675074,705648949944721408
2016-03-04 02,325,705648991162118144,705663907491217408
2016-03-04 03,166,705664198626271232,705679102506733568
2016-03-04 04,158,705679178302136320,705694236088217600
2016-03-04 05,163,705694314983092224,705709342058631168
2016-03-04 06,396,705709492244090885,705724462394527744
2016-03-04 07,471,705724479964577792,705739569023590400
2016-03-04 08,581,705739604767305728,705754659454066688
2016-03-04 09,515,705754670950645760,705769755886620674
2016-03-04 10,397,705769799641464834,705784858707103744
2016-03-04 11,393,705784928483446784,705799942418337792
2016-03-04 12,259,705800078267654144,705814986191413250
2016-03-04 13,204,705815085520912385,705829796035457024
2016-03-04 14,138,705830518454095872,705845051641847808
2016-03-04 15,120,705845340189040640,705860346343354370
2016-03-04 16,198,705860371635015680,705875338887196672
2016-03-04 17,85,705875540830453764,705890454517194753
2016-03-04 18,77,705890752283471872,705905265326088193
